Start time: 2023-06-23 11:26:47.267621
torch.Size([512, 10]) torch.Size([512, 1])
Sequential(
  (0): Linear(in_features=10, out_features=512, bias=True)
  (1): ReLU()
  (2): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU()
  )
  (3): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU()
  )
  (4): Linear(in_features=512, out_features=1, bias=True)
)
Using device: cuda:2
===== Training profile tensin-3x512-s3 - 1 =====
[0:00:02.700920] epoch: 0 | elbo: 6710924.409999999 | train_rmse: 61.8007 | val_rmse: 64.4808 | val_ll: -196.7821
[0:01:38.455824] epoch: 50 | elbo: 2314955.5175000005 | train_rmse: 14.8383 | val_rmse: 18.9164 | val_ll: -19.3972
[0:03:13.634837] epoch: 100 | elbo: 2208415.2025 | train_rmse: 12.5459 | val_rmse: 16.7094 | val_ll: -15.2266
[0:04:50.420332] epoch: 150 | elbo: 2136597.29 | train_rmse: 9.1329 | val_rmse: 15.0354 | val_ll: -13.4505
[0:06:27.264917] epoch: 200 | elbo: 2075729.2537500001 | train_rmse: 8.1597 | val_rmse: 13.8087 | val_ll: -11.4099
[0:08:03.775213] epoch: 250 | elbo: 2019392.3837499998 | train_rmse: 7.0503 | val_rmse: 13.2594 | val_ll: -9.2477
[0:09:39.438183] epoch: 300 | elbo: 1964335.7037500006 | train_rmse: 6.8329 | val_rmse: 11.9143 | val_ll: -8.8131
[0:11:16.486901] epoch: 350 | elbo: 1909803.5137500004 | train_rmse: 6.6605 | val_rmse: 10.8673 | val_ll: -7.8853
[0:12:53.220673] epoch: 400 | elbo: 1854294.7025000001 | train_rmse: 6.1012 | val_rmse: 9.901 | val_ll: -6.8149
[0:14:29.172437] epoch: 450 | elbo: 1798410.7224999995 | train_rmse: 6.2614 | val_rmse: 8.8889 | val_ll: -5.8911
[0:16:04.594401] epoch: 500 | elbo: 1742417.8575 | train_rmse: 5.5486 | val_rmse: 8.1035 | val_ll: -5.2886
[0:17:40.504436] epoch: 550 | elbo: 1686107.1962500003 | train_rmse: 4.8297 | val_rmse: 7.0969 | val_ll: -4.4943
[0:19:18.359673] epoch: 600 | elbo: 1630286.82125 | train_rmse: 4.1148 | val_rmse: 6.3016 | val_ll: -3.9807
[0:20:55.654387] epoch: 650 | elbo: 1574800.97125 | train_rmse: 3.8736 | val_rmse: 5.7038 | val_ll: -3.9807
[0:22:31.134567] epoch: 700 | elbo: 1519744.3437500002 | train_rmse: 3.5583 | val_rmse: 5.1812 | val_ll: -3.5243
[0:24:06.152169] epoch: 750 | elbo: 1465154.2837500002 | train_rmse: 3.2691 | val_rmse: 4.7299 | val_ll: -3.2435
[0:25:42.781456] epoch: 800 | elbo: 1410764.0625000002 | train_rmse: 3.0845 | val_rmse: 4.3804 | val_ll: -3.0978
[0:27:18.092217] epoch: 850 | elbo: 1356523.9525 | train_rmse: 3.0398 | val_rmse: 4.2396 | val_ll: -3.074
[0:28:53.259449] epoch: 900 | elbo: 1302418.4775 | train_rmse: 3.012 | val_rmse: 4.2287 | val_ll: -3.1293
[0:30:28.181619] epoch: 950 | elbo: 1248341.8762499997 | train_rmse: 2.9744 | val_rmse: 3.9298 | val_ll: -2.8828
[0:32:07.945081] epoch: 1000 | elbo: 1194345.54875 | train_rmse: 2.8545 | val_rmse: 3.7977 | val_ll: -2.7456
[0:33:45.485452] epoch: 1050 | elbo: 1140513.6774999998 | train_rmse: 2.8865 | val_rmse: 3.6469 | val_ll: -2.678
[0:35:26.147473] epoch: 1100 | elbo: 1086774.50875 | train_rmse: 2.8161 | val_rmse: 3.5968 | val_ll: -2.7318
[0:37:04.126704] epoch: 1150 | elbo: 1033138.345 | train_rmse: 2.8148 | val_rmse: 3.4651 | val_ll: -2.5858
[0:38:46.791786] epoch: 1200 | elbo: 979530.0756249999 | train_rmse: 2.9382 | val_rmse: 3.4125 | val_ll: -2.6128
[0:40:30.292174] epoch: 1250 | elbo: 926253.713125 | train_rmse: 2.8077 | val_rmse: 3.4066 | val_ll: -2.5872
[0:42:13.068269] epoch: 1300 | elbo: 873018.4243750001 | train_rmse: 2.7682 | val_rmse: 3.1482 | val_ll: -2.5365
[0:43:55.740736] epoch: 1350 | elbo: 820127.670625 | train_rmse: 2.8414 | val_rmse: 3.1282 | val_ll: -2.5408
[0:45:37.051495] epoch: 1400 | elbo: 767572.990625 | train_rmse: 2.9584 | val_rmse: 3.1272 | val_ll: -2.5281
[0:47:19.310839] epoch: 1450 | elbo: 715377.5556249999 | train_rmse: 2.8374 | val_rmse: 3.3935 | val_ll: -2.717
[0:48:59.474812] epoch: 1500 | elbo: 663760.5799999998 | train_rmse: 2.8167 | val_rmse: 3.1032 | val_ll: -2.5434
[0:50:40.155414] epoch: 1550 | elbo: 612627.1375 | train_rmse: 2.7933 | val_rmse: 3.1233 | val_ll: -2.6554
[0:52:21.239957] epoch: 1600 | elbo: 562362.87 | train_rmse: 2.84 | val_rmse: 3.1494 | val_ll: -2.5524
[0:54:02.533679] epoch: 1650 | elbo: 512797.70875000005 | train_rmse: 3.067 | val_rmse: 3.1204 | val_ll: -2.4759
[0:55:44.360051] epoch: 1700 | elbo: 464219.43812500004 | train_rmse: 2.9883 | val_rmse: 3.2197 | val_ll: -2.5586
[0:57:39.984509] epoch: 1750 | elbo: 416782.1862500001 | train_rmse: 3.1488 | val_rmse: 3.2499 | val_ll: -2.5858
[0:59:35.295062] epoch: 1800 | elbo: 370690.98343749996 | train_rmse: 3.1162 | val_rmse: 3.3054 | val_ll: -2.5312
[1:01:32.567652] epoch: 1850 | elbo: 326244.505 | train_rmse: 3.2705 | val_rmse: 3.1625 | val_ll: -2.5248
[1:03:29.995019] epoch: 1900 | elbo: 283632.1840625 | train_rmse: 3.2884 | val_rmse: 3.4113 | val_ll: -2.5459
