Start time: 2023-06-23 11:26:49.096857
torch.Size([512, 10]) torch.Size([512, 1])
Sequential(
  (0): Linear(in_features=10, out_features=512, bias=True)
  (1): ReLU()
  (2): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU()
  )
  (3): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU()
  )
  (4): Linear(in_features=512, out_features=1, bias=True)
)
Using device: cuda:3
===== Training profile tensin-3x512-sl - 1 =====
[0:00:02.704533] epoch: 0 | elbo: 59073507.720000006 | train_rmse: 61.5296 | val_rmse: 62.6808 | val_ll: -1315.9611
[0:01:47.358168] epoch: 50 | elbo: 3771956.1100000003 | train_rmse: 14.515 | val_rmse: 19.0214 | val_ll: -142.8085
[0:03:32.650928] epoch: 100 | elbo: 2972129.7725 | train_rmse: 11.292 | val_rmse: 16.1298 | val_ll: -97.1687
[0:05:17.017124] epoch: 150 | elbo: 2650906.21 | train_rmse: 8.5751 | val_rmse: 15.0483 | val_ll: -81.3265
[0:07:00.878498] epoch: 200 | elbo: 2472716.9850000003 | train_rmse: 7.4018 | val_rmse: 14.1257 | val_ll: -77.1303
[0:08:46.021735] epoch: 250 | elbo: 2355364.1574999997 | train_rmse: 6.4592 | val_rmse: 12.9768 | val_ll: -64.9255
[0:10:31.106941] epoch: 300 | elbo: 2270483.61 | train_rmse: 5.6261 | val_rmse: 12.6686 | val_ll: -58.0949
[0:12:15.986488] epoch: 350 | elbo: 2199346.9650000003 | train_rmse: 5.0307 | val_rmse: 11.4943 | val_ll: -50.7651
[0:14:01.170326] epoch: 400 | elbo: 2135647.4899999998 | train_rmse: 4.9279 | val_rmse: 10.8795 | val_ll: -41.8457
[0:15:47.436021] epoch: 450 | elbo: 2072290.50125 | train_rmse: 4.5544 | val_rmse: 10.5273 | val_ll: -39.2273
[0:17:36.276687] epoch: 500 | elbo: 2012188.2825000002 | train_rmse: 4.578 | val_rmse: 9.6776 | val_ll: -28.4111
[0:19:23.725931] epoch: 550 | elbo: 1954201.1187499997 | train_rmse: 4.5918 | val_rmse: 9.1656 | val_ll: -24.8002
[0:21:08.425885] epoch: 600 | elbo: 1896445.92625 | train_rmse: 4.6435 | val_rmse: 8.7052 | val_ll: -18.1186
