Start time: 2023-06-30 14:44:37.408293
torch.Size([512, 10]) torch.Size([512, 1])
Sequential(
  (0): Linear(in_features=10, out_features=512, bias=True)
  (1): LeakyReLU(negative_slope=0.05)
  (2): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.05)
  )
  (3): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.05)
  )
  (4): Linear(in_features=512, out_features=1, bias=True)
)
Using device: cuda:0
===== Training profile tensin-3x512-s003 - 1 =====
[0:00:27.549447] epoch: 0 | elbo: 461011026.55999994 | train_rmse: 8.8976 | val_rmse: 8.8646 | val_ll: -6110.4692
[0:08:51.018116] epoch: 50 | elbo: 76034897.72 | train_rmse: 3.5929 | val_rmse: 3.8018 | val_ll: -21.424
[0:17:33.860091] epoch: 100 | elbo: 28010609.839999996 | train_rmse: 1.9508 | val_rmse: 2.3858 | val_ll: -3.4052
[0:26:08.311363] epoch: 150 | elbo: 18103511.500000004 | train_rmse: 1.3908 | val_rmse: 1.9043 | val_ll: -2.4587
[0:34:54.700755] epoch: 200 | elbo: 13073574.549999999 | train_rmse: 1.0597 | val_rmse: 1.623 | val_ll: -2.1221
[0:43:43.260413] epoch: 250 | elbo: 9996896.84 | train_rmse: 0.8148 | val_rmse: 1.3905 | val_ll: -1.8383
[0:52:25.269011] epoch: 300 | elbo: 7779991.345000002 | train_rmse: 0.6318 | val_rmse: 1.2107 | val_ll: -1.643
[1:01:16.925649] epoch: 350 | elbo: 6483698.245 | train_rmse: 0.5098 | val_rmse: 1.081 | val_ll: -1.5201
[1:09:35.209289] epoch: 400 | elbo: 5634321.8549999995 | train_rmse: 0.4308 | val_rmse: 0.9913 | val_ll: -1.4455
[1:14:50.906602] epoch: 450 | elbo: 5024617.415000001 | train_rmse: 0.3712 | val_rmse: 0.9315 | val_ll: -1.3869
[1:17:57.253239] epoch: 500 | elbo: 4589000.494999999 | train_rmse: 0.3653 | val_rmse: 0.9069 | val_ll: -1.4567
[1:21:01.235452] epoch: 550 | elbo: 4169067.8525 | train_rmse: 0.2897 | val_rmse: 0.8702 | val_ll: -1.4296
[1:24:07.159446] epoch: 600 | elbo: 3902959.9675000003 | train_rmse: 0.2656 | val_rmse: 0.8485 | val_ll: -1.5106
[1:27:13.164238] epoch: 650 | elbo: 3634659.3425000003 | train_rmse: 0.2473 | val_rmse: 0.8364 | val_ll: -1.6221
[1:30:49.645350] epoch: 700 | elbo: 3445861.5300000003 | train_rmse: 0.2138 | val_rmse: 0.8194 | val_ll: -1.6527
[1:34:24.656438] epoch: 750 | elbo: 3275892.932499999 | train_rmse: 0.1973 | val_rmse: 0.811 | val_ll: -1.7747
[1:39:10.601719] epoch: 800 | elbo: 3154133.55 | train_rmse: 0.1882 | val_rmse: 0.8093 | val_ll: -1.9844
[1:42:13.866201] epoch: 850 | elbo: 3026786.995 | train_rmse: 0.1641 | val_rmse: 0.7997 | val_ll: -2.0983
[1:44:50.265490] epoch: 900 | elbo: 2936193.565 | train_rmse: 0.1634 | val_rmse: 0.8017 | val_ll: -2.3424
[1:47:06.604084] epoch: 950 | elbo: 2839222.5225 | train_rmse: 0.144 | val_rmse: 0.7984 | val_ll: -2.4614
[1:49:27.170966] epoch: 1000 | elbo: 2759194.4925 | train_rmse: 0.1281 | val_rmse: 0.7931 | val_ll: -2.6699
[1:51:47.588301] epoch: 1050 | elbo: 2708743.4800000004 | train_rmse: 0.1232 | val_rmse: 0.784 | val_ll: -2.8684
[1:54:10.268980] epoch: 1100 | elbo: 2638704.4325 | train_rmse: 0.1145 | val_rmse: 0.7847 | val_ll: -3.1047
[1:56:17.940805] epoch: 1150 | elbo: 2588902.9050000003 | train_rmse: 0.1202 | val_rmse: 0.7861 | val_ll: -3.3862
[1:58:17.577538] epoch: 1200 | elbo: 2541687.4475000002 | train_rmse: 0.1051 | val_rmse: 0.7824 | val_ll: -3.675
[2:00:03.081147] epoch: 1250 | elbo: 2504429.405 | train_rmse: 0.1039 | val_rmse: 0.7813 | val_ll: -3.9215
[2:01:40.644013] epoch: 1300 | elbo: 2455763.7124999994 | train_rmse: 0.0936 | val_rmse: 0.7797 | val_ll: -4.2913
[2:03:14.377319] epoch: 1350 | elbo: 2421384.6700000004 | train_rmse: 0.0884 | val_rmse: 0.7773 | val_ll: -4.6599
[2:04:48.759347] epoch: 1400 | elbo: 2375569.72 | train_rmse: 0.0837 | val_rmse: 0.7794 | val_ll: -4.9291
[2:06:23.469035] epoch: 1450 | elbo: 2345328.9149999996 | train_rmse: 0.086 | val_rmse: 0.7763 | val_ll: -5.2764
[2:07:59.543703] epoch: 1500 | elbo: 2312409.2725 | train_rmse: 0.0775 | val_rmse: 0.7756 | val_ll: -5.4588
[2:09:33.783071] epoch: 1550 | elbo: 2274391.6825 | train_rmse: 0.0717 | val_rmse: 0.7736 | val_ll: -5.848
[2:11:09.177709] epoch: 1600 | elbo: 2244788.2625 | train_rmse: 0.0829 | val_rmse: 0.773 | val_ll: -6.2205
[2:12:43.466166] epoch: 1650 | elbo: 2213442.3625 | train_rmse: 0.0861 | val_rmse: 0.7733 | val_ll: -6.5768
[2:14:18.392350] epoch: 1700 | elbo: 2180564.77 | train_rmse: 0.0808 | val_rmse: 0.7733 | val_ll: -7.0058
[2:15:54.058594] epoch: 1750 | elbo: 2152392.3924999996 | train_rmse: 0.0781 | val_rmse: 0.7703 | val_ll: -7.215
[2:17:29.182779] epoch: 1800 | elbo: 2118914.86125 | train_rmse: 0.0726 | val_rmse: 0.7756 | val_ll: -7.5239
[2:19:03.778262] epoch: 1850 | elbo: 2097378.37875 | train_rmse: 0.0748 | val_rmse: 0.769 | val_ll: -7.703
[2:20:39.798296] epoch: 1900 | elbo: 2061298.9762499996 | train_rmse: 0.0676 | val_rmse: 0.77 | val_ll: -8.1359
[2:22:16.507870] epoch: 1950 | elbo: 2031870.1612499994 | train_rmse: 0.0679 | val_rmse: 0.7691 | val_ll: -8.1725
[2:23:52.848326] epoch: 2000 | elbo: 2006668.9412499997 | train_rmse: 0.0707 | val_rmse: 0.7697 | val_ll: -8.46
[2:25:29.399166] epoch: 2050 | elbo: 1984968.14375 | train_rmse: 0.0675 | val_rmse: 0.7685 | val_ll: -8.5917
[2:27:05.168036] epoch: 2100 | elbo: 1955244.9587500002 | train_rmse: 0.0761 | val_rmse: 0.7676 | val_ll: -8.6792
[2:28:42.113680] epoch: 2150 | elbo: 1926144.33125 | train_rmse: 0.0611 | val_rmse: 0.766 | val_ll: -8.9243
[2:30:17.917504] epoch: 2200 | elbo: 1903460.425 | train_rmse: 0.064 | val_rmse: 0.7652 | val_ll: -9.0131
[2:31:54.007424] epoch: 2250 | elbo: 1873334.095 | train_rmse: 0.0552 | val_rmse: 0.7639 | val_ll: -9.1974
[2:33:30.634368] epoch: 2300 | elbo: 1850401.0849999997 | train_rmse: 0.0575 | val_rmse: 0.7665 | val_ll: -9.4072
[2:35:07.933075] epoch: 2350 | elbo: 1827246.0374999996 | train_rmse: 0.0701 | val_rmse: 0.7641 | val_ll: -9.4304
[2:36:45.066316] epoch: 2400 | elbo: 1810757.8775 | train_rmse: 0.0589 | val_rmse: 0.7656 | val_ll: -9.4905
[2:38:19.610167] epoch: 2450 | elbo: 1786431.1099999999 | train_rmse: 0.0647 | val_rmse: 0.7649 | val_ll: -9.4703
[2:39:54.677188] epoch: 2500 | elbo: 1764643.5599999998 | train_rmse: 0.0593 | val_rmse: 0.7634 | val_ll: -9.546
[2:41:29.533260] epoch: 2550 | elbo: 1742895.8037500002 | train_rmse: 0.0621 | val_rmse: 0.7642 | val_ll: -9.637
[2:43:04.440662] epoch: 2600 | elbo: 1721788.5224999997 | train_rmse: 0.0606 | val_rmse: 0.7625 | val_ll: -9.6311
[2:44:40.983754] epoch: 2650 | elbo: 1701177.59625 | train_rmse: 0.0687 | val_rmse: 0.7633 | val_ll: -9.6612
[2:46:15.321147] epoch: 2700 | elbo: 1676751.77 | train_rmse: 0.0588 | val_rmse: 0.7605 | val_ll: -9.8038
[2:47:48.728615] epoch: 2750 | elbo: 1658147.1587500002 | train_rmse: 0.0651 | val_rmse: 0.7634 | val_ll: -9.8696
[2:49:22.586989] epoch: 2800 | elbo: 1642572.5725 | train_rmse: 0.0583 | val_rmse: 0.7628 | val_ll: -9.9491
[2:50:56.938040] epoch: 2850 | elbo: 1620319.66625 | train_rmse: 0.0573 | val_rmse: 0.761 | val_ll: -9.9139
[2:52:30.589968] epoch: 2900 | elbo: 1602863.6875 | train_rmse: 0.0552 | val_rmse: 0.7617 | val_ll: -9.9922
[2:54:04.998167] epoch: 2950 | elbo: 1582316.4224999999 | train_rmse: 0.0581 | val_rmse: 0.7627 | val_ll: -10.2243
[2:55:39.993007] epoch: 3000 | elbo: 1569255.90375 | train_rmse: 0.0746 | val_rmse: 0.7627 | val_ll: -10.2905
[2:57:15.709666] epoch: 3050 | elbo: 1546401.93875 | train_rmse: 0.0566 | val_rmse: 0.7607 | val_ll: -10.363
[2:58:50.605540] epoch: 3100 | elbo: 1525070.4400000002 | train_rmse: 0.055 | val_rmse: 0.7598 | val_ll: -10.1606
[3:00:26.332019] epoch: 3150 | elbo: 1511385.96625 | train_rmse: 0.0593 | val_rmse: 0.7604 | val_ll: -10.3656
[3:02:03.292694] epoch: 3200 | elbo: 1489734.9474999998 | train_rmse: 0.0581 | val_rmse: 0.7585 | val_ll: -10.6369
[3:03:40.773670] epoch: 3250 | elbo: 1472533.56875 | train_rmse: 0.0527 | val_rmse: 0.7595 | val_ll: -10.5156
[3:05:17.474601] epoch: 3300 | elbo: 1457258.4099999997 | train_rmse: 0.0736 | val_rmse: 0.7615 | val_ll: -10.7828
[3:06:55.153443] epoch: 3350 | elbo: 1436504.1225 | train_rmse: 0.0564 | val_rmse: 0.7602 | val_ll: -10.7858
[3:08:30.709912] epoch: 3400 | elbo: 1416979.0125 | train_rmse: 0.055 | val_rmse: 0.7616 | val_ll: -10.9672
[3:10:05.631230] epoch: 3450 | elbo: 1400617.9987499998 | train_rmse: 0.0505 | val_rmse: 0.7593 | val_ll: -10.982
[3:11:41.909426] epoch: 3500 | elbo: 1385382.07875 | train_rmse: 0.058 | val_rmse: 0.7612 | val_ll: -11.1418
[3:13:16.848303] epoch: 3550 | elbo: 1365893.4062500002 | train_rmse: 0.0544 | val_rmse: 0.7584 | val_ll: -11.1877
[3:14:52.703550] epoch: 3600 | elbo: 1349719.99375 | train_rmse: 0.0511 | val_rmse: 0.7574 | val_ll: -11.0232
[3:16:28.385764] epoch: 3650 | elbo: 1336271.6124999998 | train_rmse: 0.0591 | val_rmse: 0.7572 | val_ll: -11.2151
[3:18:04.630822] epoch: 3700 | elbo: 1316589.0425 | train_rmse: 0.0579 | val_rmse: 0.7579 | val_ll: -11.4343
[3:19:39.357929] epoch: 3750 | elbo: 1300101.6374999997 | train_rmse: 0.056 | val_rmse: 0.7574 | val_ll: -11.5264
[3:21:15.638463] epoch: 3800 | elbo: 1286724.55875 | train_rmse: 0.0578 | val_rmse: 0.7587 | val_ll: -11.7729
[3:22:49.992198] epoch: 3850 | elbo: 1269670.84 | train_rmse: 0.0587 | val_rmse: 0.7591 | val_ll: -11.8404
[3:24:24.367065] epoch: 3900 | elbo: 1254606.1112499998 | train_rmse: 0.0557 | val_rmse: 0.7573 | val_ll: -11.7112
[3:25:58.281298] epoch: 3950 | elbo: 1235385.29 | train_rmse: 0.047 | val_rmse: 0.7569 | val_ll: -11.9631
[3:27:34.190254] epoch: 4000 | elbo: 1222177.1475000002 | train_rmse: 0.0516 | val_rmse: 0.756 | val_ll: -12.2083
[3:29:08.937991] epoch: 4050 | elbo: 1204606.835 | train_rmse: 0.0577 | val_rmse: 0.7553 | val_ll: -12.3057
[3:30:42.895417] epoch: 4100 | elbo: 1193496.54 | train_rmse: 0.0498 | val_rmse: 0.757 | val_ll: -12.0587
[3:32:17.092206] epoch: 4150 | elbo: 1174810.96 | train_rmse: 0.0513 | val_rmse: 0.7575 | val_ll: -12.4618
[3:33:51.554074] epoch: 4200 | elbo: 1162617.98375 | train_rmse: 0.0506 | val_rmse: 0.7545 | val_ll: -12.5861
[3:35:25.794338] epoch: 4250 | elbo: 1148806.17625 | train_rmse: 0.0583 | val_rmse: 0.7578 | val_ll: -12.9521
[3:37:02.328747] epoch: 4300 | elbo: 1135412.2187499998 | train_rmse: 0.0568 | val_rmse: 0.7555 | val_ll: -12.7141
[3:38:36.005182] epoch: 4350 | elbo: 1117594.455 | train_rmse: 0.0465 | val_rmse: 0.7544 | val_ll: -12.8783
[3:40:10.278534] epoch: 4400 | elbo: 1106399.0525 | train_rmse: 0.0481 | val_rmse: 0.7545 | val_ll: -13.154
[3:41:43.715005] epoch: 4450 | elbo: 1091010.65125 | train_rmse: 0.0497 | val_rmse: 0.7563 | val_ll: -13.1698
[3:43:16.882904] epoch: 4500 | elbo: 1076909.73 | train_rmse: 0.045 | val_rmse: 0.7554 | val_ll: -13.195
[3:44:49.840878] epoch: 4550 | elbo: 1068009.06625 | train_rmse: 0.0582 | val_rmse: 0.7559 | val_ll: -13.036
[3:46:24.040676] epoch: 4600 | elbo: 1060302.5431249999 | train_rmse: 0.0496 | val_rmse: 0.7542 | val_ll: -13.2228
[3:47:58.244200] epoch: 4650 | elbo: 1042393.014375 | train_rmse: 0.0457 | val_rmse: 0.7531 | val_ll: -13.5768
[3:49:33.085435] epoch: 4700 | elbo: 1029603.0887499999 | train_rmse: 0.0512 | val_rmse: 0.754 | val_ll: -13.8226
[3:51:09.189913] epoch: 4750 | elbo: 1017478.788125 | train_rmse: 0.0565 | val_rmse: 0.7546 | val_ll: -13.7749
[3:52:43.797141] epoch: 4800 | elbo: 1003988.0900000001 | train_rmse: 0.0446 | val_rmse: 0.7559 | val_ll: -13.8654
[3:54:17.556160] epoch: 4850 | elbo: 993188.076875 | train_rmse: 0.0483 | val_rmse: 0.753 | val_ll: -13.7493
[3:55:51.046641] epoch: 4900 | elbo: 981351.6256250001 | train_rmse: 0.0461 | val_rmse: 0.755 | val_ll: -14.1568
[3:57:24.957316] epoch: 4950 | elbo: 974022.5231250001 | train_rmse: 0.0477 | val_rmse: 0.755 | val_ll: -14.106
[3:58:58.303668] epoch: 5000 | elbo: 958597.4574999999 | train_rmse: 0.0439 | val_rmse: 0.7543 | val_ll: -14.2497
[4:00:32.305014] epoch: 5050 | elbo: 949852.2549999999 | train_rmse: 0.0457 | val_rmse: 0.7548 | val_ll: -14.4776
[4:02:06.541389] epoch: 5100 | elbo: 938839.116875 | train_rmse: 0.0524 | val_rmse: 0.7555 | val_ll: -14.618
[4:03:40.434210] epoch: 5150 | elbo: 930466.1412500001 | train_rmse: 0.051 | val_rmse: 0.753 | val_ll: -14.598
[4:05:15.631586] epoch: 5200 | elbo: 917152.1937500003 | train_rmse: 0.0427 | val_rmse: 0.7535 | val_ll: -14.9191
[4:06:49.200660] epoch: 5250 | elbo: 906387.244375 | train_rmse: 0.0415 | val_rmse: 0.7542 | val_ll: -14.8345
[4:08:23.720723] epoch: 5300 | elbo: 899586.3075000003 | train_rmse: 0.046 | val_rmse: 0.7557 | val_ll: -15.1341
[4:09:57.266846] epoch: 5350 | elbo: 891296.5956249998 | train_rmse: 0.0452 | val_rmse: 0.7533 | val_ll: -15.1257
[4:11:31.006877] epoch: 5400 | elbo: 879497.5399999998 | train_rmse: 0.0463 | val_rmse: 0.7532 | val_ll: -15.2173
[4:13:04.295149] epoch: 5450 | elbo: 873508.7612499999 | train_rmse: 0.0487 | val_rmse: 0.7537 | val_ll: -15.2065
[4:14:38.766132] epoch: 5500 | elbo: 866085.9418750001 | train_rmse: 0.0506 | val_rmse: 0.7558 | val_ll: -15.4822
[4:16:12.311836] epoch: 5550 | elbo: 857580.7081250001 | train_rmse: 0.0496 | val_rmse: 0.7541 | val_ll: -15.8873
[4:17:46.399649] epoch: 5600 | elbo: 848624.4106250001 | train_rmse: 0.0487 | val_rmse: 0.7542 | val_ll: -15.7313
[4:19:22.470234] epoch: 5650 | elbo: 842342.4856250001 | train_rmse: 0.0468 | val_rmse: 0.7532 | val_ll: -15.6134
[4:20:58.037088] epoch: 5700 | elbo: 832685.54375 | train_rmse: 0.0457 | val_rmse: 0.7521 | val_ll: -16.0523
[4:22:34.607055] epoch: 5750 | elbo: 824901.3818749998 | train_rmse: 0.042 | val_rmse: 0.7531 | val_ll: -15.7367
[4:24:10.906777] epoch: 5800 | elbo: 818368.975625 | train_rmse: 0.0508 | val_rmse: 0.754 | val_ll: -16.0723
